CASE;Geschlecht;Alter;Familienstand;Beruflicher Status;Branche;Mitarbeiteranzahl;UN-Zugehoerigkeit;Wochenarbeitszeit;Branche Sonstiges;Autonomie_1;OC_1;Kompetenz_1;Zugehoerigkeit_3;Zugehoerigkeit_4;Autonomie_2;OC_5;Kompetenz_4;Autonomie_3;OC_4;Kompetenz_5;Autonomie_4;Zugehoerigkeit_2;Kompetenz_6;Zugehoerigkeit_6;Autonomie_5;Kompetenz_3;OC_2;Zugehoerigkeit_5;Autonomie_6;Kompetenz_2;Zugehoerigkeit_1;OC_3;PE_UN;PE_Gesamt;PE_UN1;PE_UN2;PE_UN3;PE_UN4;PE_UN5;PE_UN6;PE_UN7;PE_UN8;PE_UN9;MAG;MAG-Haeufigkeit;MAG1;MAG2;MAG3;MAG4;MAG5;MAG6;JR;JR1;JR2;JR3;JR4;JR5;JR6;Mentoring;Mentoring1;Mentoring2;Mentoring3;Mentoring4;Mentoring5;Mentoring6;Laufbahn;Laufbahn1;Laufbahn2;Laufbahn3;Laufbahn4;Laufbahn5;Laufbahn6;
50;1;24;1;1;20;1;5;20;;4;4;4;4;3;3;4;3;4;4;4;2;4;4;2;4;4;2;3;2;4;4;4;1;2;2;1;1;1;1;1;1;2;1;1;2;3;2;2;4;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
54;1;24;1;1;14;6;1;19;;3;3;1;4;5;1;3;4;2;1;3;5;2;3;4;1;2;3;4;1;1;3;1;3;1;1;1;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;
55;1;23;1;1;20;6;7;21;;4;4;5;4;4;3;3;5;2;4;4;3;4;4;4;4;5;2;4;2;5;3;4;1;3;2;1;1;1;1;1;2;2;1;1;3;3;4;2;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
56;1;27;2;1;20;6;8;42;;2;1;3;5;2;2;1;2;2;2;4;1;2;4;1;2;4;5;3;2;4;3;1;1;1;2;1;1;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
57;1;26;3;1;12;6;6;21;;3;2;4;4;3;3;3;4;2;3;4;3;4;4;2;3;4;2;2;3;4;3;3;1;2;2;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;1;3;2;3;3;4;2;
58;1;26;1;1;20;6;6;23;;2;2;3;4;2;3;3;3;1;2;3;2;3;2;2;3;4;3;4;2;3;3;2;1;4;2;1;2;1;1;1;2;2;1;1;2;4;3;3;1;1;2;2;;;;;;;2;;;;;;;2;;;;;;;
59;1;25;3;1;8;6;8;26;;3;2;2;4;4;3;3;3;2;2;3;2;4;2;3;2;2;5;4;1;2;4;1;1;5;2;1;2;1;1;2;2;2;1;1;1;4;3;3;2;2;2;2;;;;;;;2;;;;;;;2;;;;;;;
65;1;21;1;1;21;1;6;37;;3;3;3;4;5;3;4;4;3;4;3;5;3;3;5;3;4;5;3;3;1;4;5;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;1;24;1;1;14;5;6;39;;4;4;4;4;3;4;4;4;3;3;5;4;4;5;3;4;5;3;3;2;5;4;4;1;4;2;1;2;1;2;1;1;1;2;1;1;5;4;3;4;3;4;2;;;;;;;2;;;;;;;1;4;4;4;3;4;3;
84;2;25;1;3;21;2;0;40;;5;2;4;3;2;4;1;5;2;2;4;3;2;5;1;4;4;1;2;1;5;2;2;1;4;2;1;2;2;1;1;2;1;1;1;1;2;2;2;4;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
88;2;25;3;1;6;5;5;37;;5;5;4;4;5;4;5;5;4;4;4;5;4;4;5;3;5;5;3;4;5;5;4;5;1;6;2;2;2;1;1;2;2;2;1;1;1;5;3;3;3;3;4;2;;;;;;;2;;;;;;;1;5;4;4;4;5;5
91;2;25;1;1;1;6;9;37;;5;5;4;5;5;4;4;4;5;2;4;5;4;5;5;3;4;5;2;4;3;5;5;4;1;7;2;2;2;2;1;2;2;2;1;1;1;4;5;5;5;5;4;2;;;;;;;1;4;4;5;5;4;5;1;4;4;5;4;5;5
107;1;37;3;2;20;6;9;45;;3;4;4;5;5;4;4;4;3;4;5;4;4;5;5;4;5;2;4;3;4;5;4;1;8;2;2;2;2;2;2;2;2;1;1;2;4;5;5;5;4;3;1;4;4;4;3;3;4;2;;;;;;;1;5;5;5;4;5;4;
119;2;26;1;1;21;6;3;40;;4;5;4;5;3;4;4;4;3;5;5;4;5;5;3;4;4;1;4;3;4;5;5;1;5;2;2;2;1;1;1;2;2;1;1;2;4;4;4;4;2;2;2;;;;;;;2;;;;;;;1;4;4;4;2;4;4;
125;1;26;3;1;1;6;1;40;;5;4;5;5;1;1;3;5;2;5;5;3;3;5;5;5;5;3;5;3;5;2;5;1;4;2;2;1;1;1;2;2;1;1;2;;;;;;;;1;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;
157;1;23;1;1;13;6;6;35;;4;4;4;5;5;4;4;4;4;4;5;3;5;4;4;4;4;2;4;3;4;5;4;1;2;2;1;2;1;1;1;1;1;1;1;1;4;4;4;4;4;5;2;;;;;;;2;;;;;;;1;4;4;4;3;5;4;
160;2;25;1;2;13;6;8;35;;5;4;4;5;3;5;4;4;4;4;5;4;2;5;1;5;4;3;4;2;4;4;4;1;6;2;1;2;1;2;2;2;2;1;1;1;5;5;5;4;5;4;1;4;4;3;2;4;4;2;;;;;;;2;;;;;;;
184;1;22;1;3;21;1;1;40;;3;3;4;5;4;4;4;1;5;4;5;4;5;5;5;5;5;1;5;2;5;5;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;1;24;1;1;20;6;8;38;;4;4;3;4;4;3;4;4;4;3;4;4;5;4;4;4;4;4;2;5;2;4;4;4;1;6;2;1;2;1;2;2;2;2;1;1;5;4;4;4;5;3;4;2;;;;;;;2;;;;;;;2;;;;;;
223;1;27;1;1;10;1;3;22;;4;2;2;4;3;3;2;3;2;3;4;2;4;2;4;3;3;2;4;2;3;4;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;2;21;1;1;20;6;4;38;;3;3;5;2;2;3;3;5;4;2;4;2;3;5;2;2;5;3;2;4;4;3;3;1;5;2;2;2;1;1;1;2;2;1;1;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;4;4;4;4;4;4;2;;;;;;;
269;2;23;1;1;2;4;6;38;;4;4;3;4;5;2;4;4;4;1;4;5;4;5;5;5;4;5;1;4;1;4;1;4;1;4;2;2;2;1;1;1;2;1;1;1;2;5;4;4;5;5;5;2;;;;;;;1;4;3;4;4;5;5;1;3;3;4;4;3;5
276;1;47;3;1;6;6;9;15;;2;1;3;4;1;1;2;3;2;1;3;1;1;4;1;2;3;5;2;1;4;1;1;1;3;2;1;2;1;1;1;2;1;1;1;1;1;3;3;2;2;4;2;;;;;;;2;;;;;;;2;;;;;;;
284;2;29;2;1;10;1;4;40;;4;2;4;5;5;5;4;5;3;4;5;3;5;5;1;4;5;1;3;1;5;5;2;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;1;28;4;2;2;5;12;45;;4;4;4;5;3;4;4;4;3;4;5;4;4;5;3;4;4;1;3;3;4;4;4;1;4;2;1;2;2;2;1;1;1;1;1;4;4;3;3;3;3;4;2;;;;;;;1;4;4;4;3;2;3;2;;;;;;;
337;2;50;2;1;16;6;1;45;;5;5;4;5;5;4;4;4;3;4;5;4;4;5;4;5;4;1;5;2;4;5;4;1;5;2;1;2;2;2;1;1;2;1;1;12;4;4;5;5;1;4;2;;;;;;;2;;;;;;;2;;;;;;;
351;2;56;2;1;2;6;20;40;;3;3;2;4;5;3;3;3;3;2;3;3;4;4;4;3;4;4;3;3;2;4;4;3;1;4;2;1;2;1;2;1;2;1;1;1;2;2;3;3;4;3;3;2;;;;;;;1;4;4;4;4;4;4;1;3;3;4;4;4;4
352;1;27;3;1;12;3;2;45;;4;4;3;5;3;4;4;4;4;4;5;3;4;4;3;4;4;2;4;4;4;5;4;1;3;2;1;2;1;1;1;1;2;1;1;1;3;4;3;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
354;1;22;1;3;21;6;1;20;;4;4;4;5;3;4;4;4;3;3;4;3;4;5;1;4;4;2;3;4;4;4;4;1;2;2;1;2;1;1;1;1;1;1;1;10;4;4;4;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
